"date" "y7" "y28" "batch" "air.temp"
1979-06-25 10.5 24.4 1 20.1
1979-07-24 11.4 27.3 1 18.7
1979-07-30 10.5 25.2 1 21.8
1979-08-06 10.9 24.4 1 16.2
1979-08-13 11.5 23.9 1 18.6
1979-08-20 7.5 21 1 15.9
1979-08-28 8.3 22.6 1 19.9
1979-09-11 11.1 27.6 1 12.2
1979-09-18 9.5 25.1 1 13.1
1979-09-25 10.4 24 1 11.9
1980-04-23 10.3 30.4 2 8.3
1980-06-28 10.4 28.6 2 13.3
1980-05-06 10.1 28.6 2 6
1980-05-13 10.5 28.7 2 12.1
1980-05-19 10.5 27.3 2 10
1980-05-27 11.9 28.7 2 11.8
1980-06-02 8.5 23.5 3 10.2
1980-06-10 9.2 23.7 3 18.3
1980-06-16 10.3 26.4 3 17.8
1980-06-30 10.2 28.9 3 19
1980-07-02 9.7 25.3 3 20.5
1980-07-09 9.4 22.8 3 17.7
1980-07-16 9.3 24 3 15.2
1980-07-22 9.1 21.7 3 20.1
1980-07-28 11.3 26.9 3 21.2
1980-08-05 11.4 27.8 3 18.2
1980-08-12 11 27.7 3 16.3
1980-08-20 9.2 24.7 3 12.6
1980-08-25 10 25.9 3 12.7
1980-09-02 9.5 25.2 3 14.2
1980-09-10 7.4 21.3 3 6.7
1980-09-15 9.8 24.7 3 11.1
1980-09-24 8.8 25.6 3 8
1980-09-30 9.5 25 3 6.1
1980-10-08 10 26.8 3 6.9
1980-10-14 8.5 24 3 2.9
1981-04-13 11.4 27.4 4 5
1981-04-22 8.8 24 4 6.7
1981-04-27 9.2 24.4 4 8.9
1981-05-04 10.2 24.7 4 5.8
1981-05-12 9.9 26.5 4 10.3
1981-05-25 8.7 22.4 5 12.1
1981-06-02 8 21.4 5 14.1
1981-06-09 8.9 23.2 5 8.3
1981-06-17 9 20.8 5 15.8
1981-06-24 9.7 23.6 5 16.2
1981-07-01 8.4 21.5 5 18
1981-07-08 10 22.7 5 15.2
1981-07-27 9.2 23.7 5 17.8
